variant,mode,delay,oos_return,delta_oos,full_return,full_dd,dd_improve_rel,rolling12_min,delta_roll12,reversal_retained,delayed,confirmed,expired,confirmed_baseline_reversals,blocked_reversals,blocked_reversal_pnl,missed_winner_reversal_pnl,blocked_loser_reversal_pnl,base_reversal_max_loss,test_confirmed_reversal_max_loss,max_loss_improve_rel,year_wins,year_losses,year_flat,year_min_delta,pass_gate
signal_delay1,signal,1,6.157860813682238,-0.13930257825550374,387.4630419538806,-0.5111768933334906,0.0,-0.017778514605993223,-0.05772656496280182,1.0,163,163,0,163,0,0,0,0,-333684.9960815287,-307171.1276554102,0.07945777825635415,1,6,1,-0.08409092658681594,False
signal_delay3,signal,3,6.157860813682238,-0.13930257825550374,387.4630419538806,-0.5111768933334906,0.0,-0.017778514605993223,-0.05772656496280182,1.0,163,163,0,163,0,0,0,0,-333684.9960815287,0.0,0.0,1,6,1,-0.08409092658681594,False
signal_delay6,signal,6,6.157860813682238,-0.13930257825550374,387.4630419538806,-0.5111768933334906,0.0,-0.017778514605993223,-0.05772656496280182,1.0,163,163,0,163,0,0,0,0,-333684.9960815287,0.0,0.0,1,6,1,-0.08409092658681594,False
signal_delay12,signal,12,6.157860813682238,-0.13930257825550374,387.4630419538806,-0.5111768933334906,0.0,-0.017778514605993223,-0.05772656496280182,0.9938650306748467,163,162,1,162,1,4.788244033688898,4.788244033688898,0,-333684.9960815287,0.0,0.0,1,6,1,-0.08409092658681594,False
price_delay1,price,1,8.765381674325495,2.4682182823877525,410.8852689226848,-0.5111768933334906,0.0,0.11311081195650097,0.07316276159969237,0.6196319018404908,136,101,35,101,62,-265929.38333326444,1085805.525171684,-1351734.9085049485,-333684.9960815287,-120116.70423496189,0.6400296517808851,3,4,1,-0.4494428454567245,False
price_delay3,price,3,6.284499714071366,-0.012663677866376233,406.49133934457245,-0.5111768933334904,4.343791901019476e-16,-0.022974962147363165,-0.06292301250417176,0.5153374233128835,128,84,44,84,79,1027875.6600147886,2105890.877043789,-1078015.2170290002,-333684.9960815287,0.0,0.0,2,5,1,-0.05022988549018548,False
price_delay6,price,6,6.21075860016267,-0.0864047917750721,399.64992269259204,-0.5111768933334904,4.343791901019476e-16,-0.019916530519828446,-0.05986458087663704,0.5644171779141104,133,92,41,92,71,647475.2162298085,1597194.7497630597,-949719.5335332511,-333684.9960815287,0.0,0.0,2,5,1,-0.05876603320734253,False
price_delay12,price,12,6.156644875891138,-0.14051851604660381,407.2833481664132,-0.5111768933334906,0.0,-0.021598617895470684,-0.06154666825227928,0.5030674846625767,128,82,46,82,81,450577.5361384562,1653636.5055742527,-1203058.9694357966,-333684.9960815287,2268.8759203598884,0.0,2,5,1,-0.05022988549018548,False
strength_delay1,strength,1,3.03762632319698,-3.2595370687407623,174.90227512283508,-0.5111768933334907,-2.171895950509738e-16,-0.05998618084660956,-0.09993423120341816,0.17177914110429449,105,28,77,28,135,1400902.0036679178,3571504.826650289,-2170602.8229823713,-333684.9960815287,-31444.0523098915,0.9057672575059119,3,4,1,-0.7260237449977955,False
strength_delay3,strength,3,6.492630717369009,0.19546732543126666,420.0104747720281,-0.5111768933334907,-2.171895950509738e-16,-0.014656279463755917,-0.05460432982056451,0.09815950920245399,101,16,85,16,147,2045633.6973197346,4171680.7564468957,-2126047.059127161,-333684.9960815287,0.0,0.0,3,4,1,-0.06147649773186181,False
strength_delay6,strength,6,6.520526261341624,0.22336286940388206,410.9335911018854,-0.5111768933334907,-2.171895950509738e-16,-0.011350239532079809,-0.051298289888888404,0.024539877300613498,94,4,90,4,159,2492904.6400405625,4562719.6464167,-2069815.0063761375,-333684.9960815287,0.0,0.0,3,4,1,-0.1142303790668664,False
strength_delay12,strength,12,6.327967627434734,0.030804235496991517,400.3862747563936,-0.5111768933334907,-2.171895950509738e-16,-0.011350239532079809,-0.051298289888888404,0.024539877300613498,93,4,89,4,159,2417830.123753609,4636317.665133837,-2218487.5413802266,-333684.9960815287,0.0,0.0,3,4,1,-0.1142303790668664,False
