bar,bars_held,base_trade_entry_bar,base_trade_exit_bar,base_trade_pnl,base_trade_top20_winner,base_trade_winner,base_trade_worst20_loser,close,current_return,entry_bar,entry_price,lower_shadow_ratio_2h,macd_hist_2h,macd_hist_4h,oi_change_2h,oi_change_4h,reasons,side,time,upper_shadow_ratio_2h,variant,volume_ratio_1h,volume_ratio_2h
2198,216,1982,2899,-52.4497206046708,False,False,False,182.81,0.05600557725293398,1982,173.114616,0.03058103975534985,1.2906614389237512,2.067772775092878,nan,nan,2h_upper_wick,long,2019-10-01 04:00:00,0.8501529051987744,2h_wick_r60_v1p5,2.741139182028035,3.3006243782211206
4166,139,4027,5104,528.8814636934749,False,True,False,179.94,0.022007721389313062,4027,176.065206,0.14767932489451208,1.018906942772719,0.8279234149865703,nan,nan,2h_upper_wick,long,2019-10-08 00:00:00,0.7890295358649793,2h_wick_r60_v1p5,6.053139243840337,4.716920429964381
5150,46,5104,6094,20.200317302334952,False,True,False,185.68,0.00017691727703583737,5104,185.71285,0.6737288135593277,-1.0397279928227985,-0.18283998342583585,nan,nan,2h_lower_wick,short,2019-10-11 10:00:00,0.13135593220339162,2h_wick_r60_v1p5,0.5681981019762224,1.7479820239885377
6662,51,6611,7835,72.55769383132247,False,True,False,174.08,0.015996208639705856,6611,176.86462,0.6345381526104444,-0.7593862934990092,-0.9023812928665134,nan,nan,2h_lower_wick,short,2019-10-16 16:00:00,0.28112449799196226,2h_wick_r60_v1p5,2.880294283062943,2.2359016966691487
9950,759,9191,10628,1124.774948054297,False,True,False,185.54,0.1307704932649556,9191,164.08281,0.18286655683690056,0.15262911866460094,0.7248774661602768,nan,nan,2h_upper_wick,long,2019-10-28 02:00:00,0.640856672158158,2h_wick_r60_v1p5,4.14316807395992,1.8955752772711087
11054,426,10628,11330,-103.48484822953833,False,False,False,182.06,0.0027105459738547832,10628,182.553482,0.7350993377483415,0.02529754285624608,-0.8545116847653778,nan,nan,2h_lower_wick,short,2019-10-31 22:00:00,0.05298013245033923,2h_wick_r60_v1p5,5.227490672531364,4.224799658841214
12614,209,12405,12871,-44.11552014380868,False,False,False,192.43,0.019400846159385754,12405,188.767746,0.02285714285715455,0.408302179131097,0.7783250445597194,nan,nan,2h_upper_wick,long,2019-11-06 08:00:00,0.971428571428565,2h_wick_r60_v1p5,1.0887649649400055,1.6718017626327455
13214,343,12871,13737,47.644783237674346,False,True,False,184.78,0.017655503842407327,12871,188.04238400000003,0.6917808219178176,-0.32127935997324214,-0.634955406926335,nan,nan,2h_lower_wick,short,2019-11-08 10:00:00,0.020547945205480117,2h_wick_r60_v1p5,2.0015010099038775,3.040049903501803
16214,527,15687,30375,2119.0179211623945,False,True,False,178.54,0.020799495911280497,15687,182.253542,0.688622754491017,-0.5347917283209529,-0.20743955770859746,nan,nan,2h_lower_wick,short,2019-11-18 20:00:00,0.0,2h_wick_r60_v1p5,8.09075091533749,9.195953984775496
50270,1463,48807,55344,3600.431091184704,False,True,False,122.02,0.6475150467136537,48807,201.029786,0.7085714285714256,0.889351904036638,2.501470540481547,nan,nan,2h_lower_wick,short,2020-03-16 02:00:00,0.06857142857143117,2h_wick_r60_v1p5,0.28280866211549344,11.253611024881636
62366,1374,60992,95701,15339.936809933251,False,True,False,197.12,0.1259174124955631,60992,175.075008,0.26666666666666816,-0.1066487620539367,0.02686157999607719,nan,nan,2h_upper_wick,long,2020-04-27 02:00:00,0.6784313725490237,2h_wick_r60_v1p5,2.81484840664135,3.5047869027110767
103414,1919,101495,105239,-3981.593289927441,False,False,False,379.89,0.025360502112632854,101495,370.494084,0.29955947136563166,1.4130684078577398,1.4348197566728675,nan,nan,2h_upper_wick,long,2020-09-17 16:00:00,0.6189427312775385,2h_wick_r60_v1p5,0.8597544273247516,3.9567205266166825
113230,3383,109847,136783,37135.1622576107,False,True,False,395.21,0.08178003012987722,109847,365.333052,0.0,2.3575043672731715,1.3730472401390386,0.009549093174768819,0.04474222757982682,2h_upper_wick,long,2020-10-21 18:00:00,0.7673545966228976,2h_wick_r60_v1p5,2.035761225856294,5.247266529167034
151444,455,150989,172818,71695.46912793306,False,True,False,1605.52,0.018126726927197856,150989,1576.9353239999998,0.07913802712242238,6.915002225938,13.785039894367316,-0.009402807337354768,-0.02175012962237044,2h_upper_wick,long,2021-03-03 14:00:00,0.9000557310050137,2h_wick_r60_v1p5,4.223717790030381,2.212807687485675
194671,2015,192656,209936,34274.426910554714,False,True,False,2527.39,0.15777242253309676,192656,2182.9765079999997,0.2629932627526541,4.722254783425285,7.112642698146601,0.0337475243409846,0.004080386822578497,2h_upper_wick,long,2021-08-01 00:00:00,0.6210298363811352,2h_wick_r60_v1p5,2.8652810819027583,1.9911311458772967
