bar,current_return_after_cost,entry_atr,entry_bar,entry_price,gross_return,open_profit_atr,side,signal_variant,time,variant
1982,0.005321966306992732,0.5399987101554871,1982,173.114616,0.0059231509371802105,1.8988637948870755,long,1h_strict_engulf_v2p0_macd4h,2019-09-30 10:00:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
2902,0.012842483569878117,0.3664289116859436,2899,172.275538,0.013445132066592258,6.237329880669667,short,1h_strict_engulf_v2p0_macd4h,2019-10-03 14:40:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
4028,0.004992229512968249,0.3057141900062561,4027,176.065206,0.005593348182604707,3.2212897935155365,long,1h_strict_engulf_v2p0_macd4h,2019-10-07 12:30:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
5210,0.011511901776819445,1.3600006103515625,5104,185.71285,0.012114284157174637,1.6344477958913441,short,1h_strict_engulf_v2p0_macd4h,2019-10-11 15:00:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
6098,0.008693880322742943,0.6542870402336121,6094,185.347062,0.009295739470636999,2.633306017164618,long,1h_strict_engulf_v2p0_macd4h,2019-10-14 17:00:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
6615,0.00237449330367574,0.3221392035484314,6611,176.86462,0.0029750482023362945,1.628550621039596,short,1h_strict_engulf_v2p0_macd4h,2019-10-16 12:05:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
8039,0.008596958584581938,0.4000004231929779,7835,175.555104,0.009198798344250969,4.037235728675443,long,1h_strict_engulf_v2p0_macd4h,2019-10-21 10:45:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
8476,0.0018322997510628717,0.26428550481796265,8379,171.305732,0.0024327462110129705,1.5730412467621788,short,1h_strict_engulf_v2p0_macd4h,2019-10-22 23:10:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
9191,0.0025513755889480906,0.3271419107913971,9191,164.08281,0.0031520059901459785,1.5809347042965307,long,1h_strict_engulf_v2p0_macd4h,2019-10-25 10:45:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
10667,0.009543440705395768,0.7121440172195435,10628,182.553482,0.01014542939353702,2.5745944017876488,short,1h_strict_engulf_v2p0_macd4h,2019-10-30 13:45:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
11563,0.002672986184479598,0.3764277994632721,11330,184.24684200000002,0.0032736409126621346,1.6023205535297589,long,1h_strict_engulf_v2p0_macd4h,2019-11-02 16:25:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
11816,0.0008578832014016328,0.16785867512226105,11781,181.153762,0.0014581347780420195,1.5713337413624953,short,1h_strict_engulf_v2p0_macd4h,2019-11-03 13:30:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
12405,0.009634097668359055,0.2892870306968689,12405,188.767746,0.010236144897338484,6.679366148372977,long,1h_strict_engulf_v2p0_macd4h,2019-11-05 14:35:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
12915,0.0027736996072320165,0.22571346163749695,12871,188.04238400000003,0.003374334347153507,2.801711494796262,short,1h_strict_engulf_v2p0_macd4h,2019-11-07 09:05:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
13737,0.005716656331018877,0.27285656332969666,13737,187.177428,0.006317919915001857,4.334042713024654,long,1h_strict_engulf_v2p0_macd4h,2019-11-10 05:35:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
14238,0.0012072001315805551,0.15928541123867035,14236,184.603072,0.001807521571606907,2.091038955858413,short,1h_strict_engulf_v2p0_macd4h,2019-11-11 23:20:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
15723,0.0015084982695549702,0.08071572333574295,15687,182.253542,0.0021088799692088323,4.751763152820109,short,1h_strict_engulf_v2p0_macd4h,2019-11-17 03:05:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
30753,0.005290933532021658,0.25499942898750305,30663,143.62127,0.005892071718728076,3.299105426786024,short,1h_strict_engulf_v2p0_macd4h,2020-01-08 07:35:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
48867,0.004748970205958836,0.5749980211257935,48807,201.029786,0.005349999999999966,1.8605037942660227,short,1h_strict_engulf_v2p0_macd4h,2020-03-11 05:05:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
57453,0.0015632007404666308,0.0678580179810524,57447,169.23384,0.0021636334671599755,5.395972515764439,long,1h_strict_engulf_v2p0_macd4h,2020-04-10 00:35:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
57494,0.022128406818636214,0.5842841267585754,57493,163.63726599999998,0.02273291249999998,6.2251665472727975,short,1h_strict_engulf_v2p0_macd4h,2020-04-10 04:00:00,1h_strict_engulf_v2p0_macd4h_armATR1p5
