armed_bar,armed_open_profit_atr,armed_time,arming_lifecycle,arming_metric,arming_threshold_atr,bar,bars_held,base_trade_entry_bar,base_trade_exit_bar,base_trade_pnl,base_trade_top20_winner,base_trade_winner,base_trade_worst20_loser,close,current_return,current_return_after_cost,daily_context,delta_vs_base_pnl_proxy,early_exit_pnl_proxy,engulf_style,engulf_volume_ratio,entry_atr,entry_bar,entry_notional,entry_price,exit_quality,lower_shadow_ratio_2h,macd_hist_2h,macd_hist_4h,macd_tf,oi_change_2h,oi_change_4h,oi_threshold,open_profit_atr,reasons,sequence_macd_tf,sequence_window_bars,side,signal_variant,time,upper_shadow_ratio_2h,use_2h_wick,variant,volume_ratio_1h,volume_ratio_2h,wick_shadow_ratio,wick_volume_ratio
60992,3.9696787997743246,2020-04-22 07:30:00,latched,open_profit_atr_entry_based,1.5,95590,34598,60992,95701,15339.936809933251,False,True,False,403.0,1.3018705216909088,1.3010101475865703,False,897.0273759542924,16236.964185887544,strict,2.0,0.16499873995780945,60992,12480.274820306213,175.075008,improved_winner,0.0,-0.15535284215970324,-0.3871114999156262,4h,nan,nan,,1381.374136907233,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2020-08-21 12:00:00,0.011214953271028415,False,1h_strict_engulf_v2p0_macd4h_armATR1p5,17.13252363161507,8.365763642321847,0.75,1.5
109851,2.42284937565196,2020-10-10 00:25:00,latched,open_profit_atr_entry_based,1.5,112870,3023,109847,136783,37135.1622576107,False,True,False,368.44,0.008504426257058162,0.007902725371806653,False,-36946.7722036239,188.39005398679922,strict,2.0,0.7292851209640503,109847,23838.618340312023,365.333052,missed_winner,0.22425828970331568,-1.1107959983295908,-0.1977180306286208,4h,nan,nan,,4.260265170216114,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2020-10-20 12:00:00,0.1378708551483409,False,1h_strict_engulf_v2p0_macd4h_armATR1p5,15.206588264716355,8.443140076609355,0.75,1.5
150990,1.9190094883721285,2021-03-02 00:10:00,latched,open_profit_atr_entry_based,1.5,160492,9503,150989,172818,71695.46912793306,False,True,False,1996.92,0.2663296773228985,0.26567641138743386,False,-55496.17390995221,16199.295217980849,strict,2.0,5.375,150989,60973.78059792272,1576.9353239999998,missed_winner,0.2756807764896202,-17.046529596139273,-7.342034755972321,4h,-0.0197217616909916,-0.055899488619624904,,78.1366839069768,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2021-04-04 00:00:00,0.46373685629549827,False,1h_strict_engulf_v2p0_macd4h_armATR1p5,2.24183378730761,3.424777557289722,0.75,1.5
356614,1.6367118413497197,2023-02-14 14:55:00,latched,open_profit_atr_entry_based,1.5,359507,3448,356059,362196,2902.577303465514,False,True,False,1575.89,0.01795132739130989,0.017347737125831663,False,2109.788249649694,5012.365553115208,strict,2.0,3.5378506183624268,356059,288934.83436819783,1548.099558,improved_winner,0.0119987849331742,-4.610389267791495,-4.348299035172708,4h,0.010378263272518229,0.011534787232026611,,7.855176771953034,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2023-02-24 16:00:00,0.12029161603888298,False,1h_strict_engulf_v2p0_macd4h_armATR1p5,5.126590158367528,3.4765207546828822,0.75,1.5
563545,2.5195094578273873,2025-02-02 03:10:00,latched,open_profit_atr_entry_based,1.5,566627,3119,563508,566964,95432.27353813092,False,True,False,2677.49,0.16525398190095952,0.16462097770541856,False,13644.573781201354,109076.84731933227,strict,2.0,8.849295616149902,563508,662593.8494577534,3119.955884,improved_winner,0.7316211878009597,4.84348559683564,3.3163098104105195,4h,0.005107825672359123,0.020599552221117534,,50.000124664442566,1h_bullish_strict_engulf+macd_bull_cross_4h,,0,short,1h_strict_engulf_v2p0_macd4h,2025-02-12 20:00:00,0.05072231139648081,False,1h_strict_engulf_v2p0_macd4h_armATR1p5,2.2655829364257607,0.5365122425456114,0.75,1.5
590596,1.8651314513175448,2025-05-07 01:25:00,latched,open_profit_atr_entry_based,1.5,591923,1339,590584,599220,289292.0533968997,True,True,False,2455.16,0.33440012730793334,0.33373324728247183,False,25955.402338164044,315247.45573506376,strict,2.0,4.708565711975098,590584,944609.0801622719,1839.897906,improved_winner,0.21088107847857301,-18.53260935979941,-0.47421367014933935,4h,0.009048207147539067,0.019056845482253504,,130.66868588777038,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2025-05-11 16:00:00,0.3689616433959204,False,1h_strict_engulf_v2p0_macd4h_armATR1p5,2.7456901618148337,1.1207806017934292,0.75,1.5
60992,3.9696787997743246,2020-04-22 07:30:00,latched,open_profit_atr_entry_based,2.0,95590,34598,60992,95701,15339.936809933251,False,True,False,403.0,1.3018705216909088,1.3010101475865703,False,897.0273759542924,16236.964185887544,strict,2.0,0.16499873995780945,60992,12480.274820306213,175.075008,improved_winner,0.0,-0.15535284215970324,-0.3871114999156262,4h,nan,nan,,1381.374136907233,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2020-08-21 12:00:00,0.011214953271028415,False,1h_strict_engulf_v2p0_macd4h_armATR2p0,17.13252363161507,8.365763642321847,0.75,1.5
109851,2.42284937565196,2020-10-10 00:25:00,latched,open_profit_atr_entry_based,2.0,112870,3023,109847,136783,37135.1622576107,False,True,False,368.44,0.008504426257058162,0.007902725371806653,False,-36946.7722036239,188.39005398679922,strict,2.0,0.7292851209640503,109847,23838.618340312023,365.333052,missed_winner,0.22425828970331568,-1.1107959983295908,-0.1977180306286208,4h,nan,nan,,4.260265170216114,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2020-10-20 12:00:00,0.1378708551483409,False,1h_strict_engulf_v2p0_macd4h_armATR2p0,15.206588264716355,8.443140076609355,0.75,1.5
150991,3.351567627907021,2021-03-02 00:15:00,latched,open_profit_atr_entry_based,2.0,160492,9503,150989,172818,71695.46912793306,False,True,False,1996.92,0.2663296773228985,0.26567641138743386,False,-55496.17390995221,16199.295217980849,strict,2.0,5.375,150989,60973.78059792272,1576.9353239999998,missed_winner,0.2756807764896202,-17.046529596139273,-7.342034755972321,4h,-0.0197217616909916,-0.055899488619624904,,78.1366839069768,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2021-04-04 00:00:00,0.46373685629549827,False,1h_strict_engulf_v2p0_macd4h_armATR2p0,2.24183378730761,3.424777557289722,0.75,1.5
356615,2.26703805931536,2023-02-14 15:00:00,latched,open_profit_atr_entry_based,2.0,359507,3448,356059,362196,2902.577303465514,False,True,False,1575.89,0.01795132739130989,0.017347737125831663,False,2109.788249649694,5012.365553115208,strict,2.0,3.5378506183624268,356059,288934.83436819783,1548.099558,improved_winner,0.0119987849331742,-4.610389267791495,-4.348299035172708,4h,0.010378263272518229,0.011534787232026611,,7.855176771953034,1h_bearish_strict_engulf+macd_bear_cross_4h,,0,long,1h_strict_engulf_v2p0_macd4h,2023-02-24 16:00:00,0.12029161603888298,False,1h_strict_engulf_v2p0_macd4h_armATR2p0,5.126590158367528,3.4765207546828822,0.75,1.5
