armed_bar,armed_open_profit_atr,armed_time_cst,armed_time_utc,arming_lifecycle,arming_metric,arming_threshold_atr,before_1590,close,current_return,current_return_after_cost,daily_context,engulf_style,engulf_volume_ratio,entry_atr,execution_bar,execution_time_utc,live_case_hit,lower_shadow_ratio_2h,macd_hist_2h,macd_hist_4h,macd_tf,next_open,oi_threshold,open_profit_atr,reasons,saved_vs_1590,sequence_macd_tf,sequence_window_bars,signal_variant,status,trigger_bar,trigger_time_cst,trigger_time_utc,use_2h_wick,variant,volume_ratio_1h,volume_ratio_2h,wick_shadow_ratio,wick_volume_ratio
709871,2.440589765828269,2026-06-23 12:30:00,2026-06-23 04:30:00,latched,open_profit_atr_entry_based,1.5,True,1564.52,0.10523994579807239,0.10461894200967055,False,,1.5,2.47071428571428,710850,2026-06-26 14:05:00,True,0.47724665391969084,0.6348426031978818,-6.536643511164542,,1564.52,,66.64064758600772,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,144,2h_wick_r75_v2p0_then_macd2h_12h,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v2p0_then_macd2h_12h_armATR1p5,3.5231324011479934,2.688326075305559,0.75,2.0
709871,2.440589765828269,2026-06-23 12:30:00,2026-06-23 04:30:00,latched,open_profit_atr_entry_based,2.0,True,1564.52,0.10523994579807239,0.10461894200967055,False,,1.5,2.47071428571428,710850,2026-06-26 14:05:00,True,0.47724665391969084,0.6348426031978818,-6.536643511164542,,1564.52,,66.64064758600772,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,144,2h_wick_r75_v2p0_then_macd2h_12h,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v2p0_then_macd2h_12h_armATR2p0,3.5231324011479934,2.688326075305559,0.75,2.0
709873,2.6470078057241895,2026-06-23 12:40:00,2026-06-23 04:40:00,latched,open_profit_atr_entry_based,2.5,True,1564.52,0.10523994579807239,0.10461894200967055,False,,1.5,2.47071428571428,710850,2026-06-26 14:05:00,True,0.47724665391969084,0.6348426031978818,-6.536643511164542,,1564.52,,66.64064758600772,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,144,2h_wick_r75_v2p0_then_macd2h_12h,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v2p0_then_macd2h_12h_armATR2p5,3.5231324011479934,2.688326075305559,0.75,2.0
709875,4.144550448106402,2026-06-23 12:50:00,2026-06-23 04:50:00,latched,open_profit_atr_entry_based,3.0,True,1564.52,0.10523994579807239,0.10461894200967055,False,,1.5,2.47071428571428,710850,2026-06-26 14:05:00,True,0.47724665391969084,0.6348426031978818,-6.536643511164542,,1564.52,,66.64064758600772,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,144,2h_wick_r75_v2p0_then_macd2h_12h,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v2p0_then_macd2h_12h_armATR3p0,3.5231324011479934,2.688326075305559,0.75,2.0
-1,nan,,,latched,open_profit_atr_entry_based,1.5,False,nan,nan,nan,False,strict,2.0,nan,-1,,False,,,,4h,nan,,nan,,nan,,0,1h_strict_engulf_v2p0_macd4h,no_trigger,-1,,,False,1h_strict_engulf_v2p0_macd4h_armATR1p5,,,0.75,1.5
-1,nan,,,latched,open_profit_atr_entry_based,2.0,False,nan,nan,nan,False,strict,2.0,nan,-1,,False,,,,4h,nan,,nan,,nan,,0,1h_strict_engulf_v2p0_macd4h,no_trigger,-1,,,False,1h_strict_engulf_v2p0_macd4h_armATR2p0,,,0.75,1.5
-1,nan,,,latched,open_profit_atr_entry_based,2.5,False,nan,nan,nan,False,strict,2.0,nan,-1,,False,,,,4h,nan,,nan,,nan,,0,1h_strict_engulf_v2p0_macd4h,no_trigger,-1,,,False,1h_strict_engulf_v2p0_macd4h_armATR2p5,,,0.75,1.5
-1,nan,,,latched,open_profit_atr_entry_based,3.0,False,nan,nan,nan,False,strict,2.0,nan,-1,,False,,,,4h,nan,,nan,,nan,,0,1h_strict_engulf_v2p0_macd4h,no_trigger,-1,,,False,1h_strict_engulf_v2p0_macd4h_armATR3p0,,,0.75,1.5
-1,nan,,,latched,open_profit_atr_entry_based,1.5,False,nan,nan,nan,False,,1.5,nan,-1,,False,,,,2h,nan,,nan,,nan,,0,2h_wick_r75_v1p5_macd2h,no_trigger,-1,,,True,2h_wick_r75_v1p5_macd2h_armATR1p5,,,0.75,1.5
-1,nan,,,latched,open_profit_atr_entry_based,2.0,False,nan,nan,nan,False,,1.5,nan,-1,,False,,,,2h,nan,,nan,,nan,,0,2h_wick_r75_v1p5_macd2h,no_trigger,-1,,,True,2h_wick_r75_v1p5_macd2h_armATR2p0,,,0.75,1.5
-1,nan,,,latched,open_profit_atr_entry_based,2.5,False,nan,nan,nan,False,,1.5,nan,-1,,False,,,,2h,nan,,nan,,nan,,0,2h_wick_r75_v1p5_macd2h,no_trigger,-1,,,True,2h_wick_r75_v1p5_macd2h_armATR2p5,,,0.75,1.5
-1,nan,,,latched,open_profit_atr_entry_based,3.0,False,nan,nan,nan,False,,1.5,nan,-1,,False,,,,2h,nan,,nan,,nan,,0,2h_wick_r75_v1p5_macd2h,no_trigger,-1,,,True,2h_wick_r75_v1p5_macd2h_armATR3p0,,,0.75,1.5
