activation_bar,activation_time,anchor,atr_multiplier,atr_ref,bar,bars_held,base_trade_entry_bar,base_trade_exit_bar,base_trade_pnl,base_trade_top20_winner,base_trade_winner,base_trade_worst20_loser,close,delta_vs_base_pnl_proxy,early_exit_pnl_proxy,entry_bar,entry_notional,entry_price,event,execution_bar,execution_open,execution_return_after_cost,execution_time,exit_quality,reasons,side,signal_variant,stop_price,time,trigger_return_after_cost,ttl_mode,ttl_until,variant
13430,2019-11-09 04:00:00,184.47,1.0,0.1414293497800827,13430,559,12871,13737,47.644783237674346,False,True,False,184.47,151.84193574254016,199.4867189802145,12871,10357.93852436861,188.04238400000003,riskoff_activate,13431,184.38,0.019259307101590916,2019-11-09 04:05:00,,2h_lower_wick_setup@2019-11-08 16:00:00+macd_bull_cross_2h,short,2h_wick_r75_v2p0_then_macd2h_12h,184.61142934978008,2019-11-09 04:00:00,0.018761831427285446,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
13430,2019-11-09 04:00:00,184.24,1.0,0.1414293497800827,13440,569,12871,13737,47.644783237674346,False,True,False,184.44,148.4061620214082,196.05094525908254,12871,10357.93852436861,188.04238400000003,riskoff_stop,13441,184.44,0.01892760270760858,2019-11-09 04:55:00,improved_winner,,short,2h_wick_r75_v2p0_then_macd2h_12h,184.3814293497801,2019-11-09 04:50:00,0.01892760270760858,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
68498,2020-05-18 18:00:00,211.95,1.0,0.36785778403282166,68498,7506,60992,95701,15339.936809933251,False,True,False,211.95,-12719.305762346165,2620.6310475870864,60992,12480.274820306213,175.075008,riskoff_activate,68499,211.95,0.2099818381661877,2020-05-18 18:05:00,,2h_upper_wick_setup@2020-05-18 06:00:00+macd_bear_cross_2h,long,2h_wick_r75_v2p0_then_macd2h_12h,211.58214221596717,2020-05-18 18:00:00,0.2099818381661877,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
68498,2020-05-18 18:00:00,212.71,1.0,0.36785778403282166,68503,7511,60992,95701,15339.936809933251,False,True,False,212.28,-12695.786317511624,2644.1504924216274,60992,12480.274820306213,175.075008,riskoff_stop,68504,212.28,0.2118663675674372,2020-05-18 18:30:00,missed_winner,,long,2h_wick_r75_v2p0_then_macd2h_12h,212.3421422159672,2020-05-18 18:25:00,0.2118663675674372,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
161236,2021-04-06 14:00:00,2101.01,1.0,7.064243793487549,161236,10247,150989,172818,71695.46912793306,False,True,False,2095.03,-51645.423994414115,20050.04513351894,150989,60973.78059792272,1576.9353239999998,riskoff_activate,161237,2096.53,0.3288306045140001,2021-04-06 14:05:00,,2h_upper_wick_setup@2021-04-06 02:00:00+macd_bear_cross_2h,long,2h_wick_r75_v2p0_then_macd2h_12h,2093.9457562065127,2021-04-06 14:00:00,0.3278795826317608,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
161236,2021-04-06 14:00:00,2101.01,1.0,7.064243793487549,161237,10248,150989,172818,71695.46912793306,False,True,False,2090.79,-51936.52074036337,19758.948387569693,150989,60973.78059792272,1576.9353239999998,riskoff_stop,161238,2089.0,0.3240564746651588,2021-04-06 14:10:00,missed_winner,,long,2h_wick_r75_v2p0_then_macd2h_12h,2093.9457562065127,2021-04-06 14:05:00,0.32519136077796434,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
204439,2021-09-03 22:00:00,3936.96,1.0,8.781389236450195,204439,11783,192656,209936,34274.426910554714,False,True,False,3922.31,33651.26387660124,67925.69078715595,192656,85352.12260900838,2182.9765079999997,riskoff_activate,204440,3921.91,0.7958289578610529,2021-09-03 22:05:00,,2h_upper_wick_setup@2021-09-03 16:00:00+macd_bear_cross_2h,long,2h_wick_r75_v2p0_then_macd2h_12h,3928.17861076355,2021-09-03 22:00:00,0.7960121572672465,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
204439,2021-09-03 22:00:00,3936.96,1.0,8.781389236450195,204440,11784,192656,209936,34274.426910554714,False,True,False,3916.62,33345.962030649884,67620.3889412046,192656,85352.12260900838,2182.9765079999997,riskoff_stop,204441,3914.1,0.7922519894551245,2021-09-03 22:10:00,improved_winner,,long,2h_wick_r75_v2p0_then_macd2h_12h,3928.17861076355,2021-09-03 22:05:00,0.7934061457141437,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
216751,2021-10-16 16:00:00,3907.94,1.0,8.450700759887695,216751,4223,212528,231248,31590.289119135792,False,True,False,3901.96,-10132.573586957918,21457.715532177874,212528,119626.5495195631,3305.06088,riskoff_activate,216752,3900.0,0.1793725190466084,2021-10-16 16:05:00,,2h_upper_wick_setup@2021-10-16 04:00:00+macd_bear_cross_2h,long,2h_wick_r75_v2p0_then_macd2h_12h,3899.4892992401124,2021-10-16 16:00:00,0.17996543036387264,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
216751,2021-10-16 16:00:00,3912.88,1.0,8.450700759887695,216755,4227,212528,231248,31590.289119135792,False,True,False,3898.97,-10236.070471783733,21354.21864735206,212528,119626.5495195631,3305.06088,riskoff_stop,216756,3897.14,0.17850735253264077,2021-10-16 16:25:00,missed_winner,,long,2h_wick_r75_v2p0_then_macd2h_12h,3904.4292992401124,2021-10-16 16:20:00,0.1790609380992702,until_baseline_exit,1000000000000,2h_wick_r75_v2p0_then_macd2h_12h_trailATR1p0_until_baseline_exit
