anchor,anchor_dd,dd_overlap_ratio,end,other,other_return,period,start,worst30_overlap_ratio,worst90_overlap_ratio
5m_v22_moirai_baseline,-0.4708584659519256,1.0,2021-07-22 00:00:00,5m_v22_moirai_baseline,-0.4708584659519256,max_dd,2021-05-11 00:00:00,1.0,1.0
5m_v22_moirai_baseline,-0.4708584659519256,0.6805555555555556,2021-07-22 00:00:00,5m_core_donchian,-0.07178094861146866,max_dd,2021-05-11 00:00:00,0.0,0.16666666666666666
5m_v22_moirai_baseline,-0.4708584659519256,0.6805555555555556,2021-07-22 00:00:00,15m_core_donchian,-0.27134448274955214,max_dd,2021-05-11 00:00:00,0.0,0.16666666666666666
5m_v22_moirai_baseline,-0.4708584659519256,0.0,2021-07-22 00:00:00,1h_core_donchian,-0.15772265327586965,max_dd,2021-05-11 00:00:00,0.0,0.14444444444444443
5m_v22_moirai_baseline,-0.4708584659519256,0.3055555555555556,2021-07-22 00:00:00,1h_core_donchian_fast,-0.0415946874845744,max_dd,2021-05-11 00:00:00,0.0,0.5
15m_core_donchian,-0.929090209195395,0.6805555555555556,2024-06-18 00:00:00,5m_v22_moirai_baseline,4.572749315006262,max_dd,2021-06-03 00:00:00,0.0,0.16666666666666666
15m_core_donchian,-0.929090209195395,1.0,2024-06-18 00:00:00,5m_core_donchian,-0.8352289753881968,max_dd,2021-06-03 00:00:00,0.0,1.0
15m_core_donchian,-0.929090209195395,1.0,2024-06-18 00:00:00,15m_core_donchian,-0.929090209195395,max_dd,2021-06-03 00:00:00,1.0,1.0
15m_core_donchian,-0.929090209195395,0.9881539980256664,2024-06-18 00:00:00,1h_core_donchian,-0.9724730786003496,max_dd,2021-06-03 00:00:00,0.9,0.9777777777777777
15m_core_donchian,-0.929090209195395,0.9756975697569757,2024-06-18 00:00:00,1h_core_donchian_fast,-0.9503756602464941,max_dd,2021-06-03 00:00:00,0.0,0.6666666666666666
1h_core_donchian,-0.9742686287075306,0.0,2024-06-30 00:00:00,5m_v22_moirai_baseline,4.371200561986219,max_dd,2021-09-21 00:00:00,0.0,0.14444444444444443
1h_core_donchian,-0.9742686287075306,0.9763079960513327,2024-06-30 00:00:00,5m_core_donchian,-0.788832984049987,max_dd,2021-09-21 00:00:00,0.0,0.9777777777777777
1h_core_donchian,-0.9742686287075306,0.9881539980256664,2024-06-30 00:00:00,15m_core_donchian,-0.9000164835250339,max_dd,2021-09-21 00:00:00,0.9,0.9777777777777777
1h_core_donchian,-0.9742686287075306,1.0,2024-06-30 00:00:00,1h_core_donchian,-0.9742686287075306,max_dd,2021-09-21 00:00:00,1.0,1.0
1h_core_donchian,-0.9742686287075306,1.0,2024-06-30 00:00:00,1h_core_donchian_fast,-0.9524145271241612,max_dd,2021-09-21 00:00:00,0.0,0.6444444444444445
1h_core_donchian_fast,-0.9728695166041694,0.3055555555555556,2025-06-29 00:00:00,5m_v22_moirai_baseline,11.575666332448963,max_dd,2021-06-30 00:00:00,0.0,0.5
1h_core_donchian_fast,-0.9728695166041694,0.9754322111010009,2025-06-29 00:00:00,5m_core_donchian,-0.744495442558424,max_dd,2021-06-30 00:00:00,0.0,0.6666666666666666
1h_core_donchian_fast,-0.9728695166041694,0.9756975697569757,2025-06-29 00:00:00,15m_core_donchian,-0.8921824627353601,max_dd,2021-06-30 00:00:00,0.0,0.6666666666666666
1h_core_donchian_fast,-0.9728695166041694,1.0,2025-06-29 00:00:00,1h_core_donchian,-0.9580074672537641,max_dd,2021-06-30 00:00:00,0.0,0.6444444444444445
1h_core_donchian_fast,-0.9728695166041694,1.0,2025-06-29 00:00:00,1h_core_donchian_fast,-0.9728695166041694,max_dd,2021-06-30 00:00:00,1.0,1.0
