entry_bar,entry_notional,entry_time,exit_bar,exit_time,month,pnl,quarter,rank,return,sleeve
608021,1076325.9707512835,2025-07-06 13:30:00,631188,2025-09-25 00:05:00,2025-07,687933.1530731542,2025Q3,1,0.6391494507867089,5m_v22_moirai_baseline
702783,3479386.7056611497,2026-05-31 14:20:00,704704,2026-06-07 06:25:00,2026-05,687331.854913211,2026Q2,2,0.19754396767536214,5m_v22_moirai_baseline
667528,2344044.127007336,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,2026-01,675483.4111797365,2026Q1,3,0.288170091764498,5m_v22_moirai_baseline
642708,1625512.5194473632,2025-11-04 00:05:00,649044,2025-11-26 00:05:00,2025-11,291923.0081585888,2025Q4,4,0.17958828656566475,5m_v22_moirai_baseline
590584,944609.0801622719,2025-05-07 00:25:00,599220,2025-06-06 00:05:00,2025-05,289292.0533968997,2025Q2,5,0.30625584643671117,5m_v22_moirai_baseline
538173,592610.9358520004,2024-11-06 00:50:00,551988,2024-12-24 00:05:00,2024-11,223327.4877437217,2024Q4,6,0.3768534703509013,5m_v22_moirai_baseline
680700,3289014.123605969,2026-03-15 22:05:00,681437,2026-03-18 11:30:00,2026-03,220104.04612457892,2026Q1,7,0.06692097931256798,5m_v22_moirai_baseline
681437,3509118.169730548,2026-03-18 11:30:00,682873,2026-03-23 11:10:00,2026-03,206137.004997788,2026Q1,8,0.05874324973604878,5m_v22_moirai_baseline
459540,445268.2568183524,2024-02-07 00:05:00,476244,2024-04-05 00:05:00,2024-02,176532.66314368136,2024Q1,9,0.39646361589997203,5m_v22_moirai_baseline
683665,3714553.35109439,2026-03-26 05:10:00,684789,2026-03-30 02:50:00,2026-03,175497.21646333812,2026Q1,10,0.047245846236569126,5m_v22_moirai_baseline
657584,2197900.9058469213,2025-12-25 15:45:00,661320,2026-01-07 15:05:00,2025-12,153802.9006437799,2025Q4,11,0.06997717696672714,5m_v22_moirai_baseline
650941,2021002.7414279224,2025-12-02 14:10:00,651829,2025-12-05 16:10:00,2025-12,143916.03504271363,2025Q4,12,0.07121021267939051,5m_v22_moirai_baseline
652419,2153834.576820901,2025-12-07 17:20:00,653371,2025-12-11 00:40:00,2025-12,140704.73586541507,2025Q4,13,0.06532754993333695,5m_v22_moirai_baseline
662399,2402036.1167352023,2026-01-11 09:00:00,663918,2026-01-16 15:35:00,2026-01,138377.42174652172,2026Q1,14,0.057608385145599496,5m_v22_moirai_baseline
678745,3285631.527373573,2026-03-09 03:10:00,680265,2026-03-14 09:50:00,2026-03,138375.05150027433,2026Q1,15,0.04211520687801741,5m_v22_moirai_baseline
427888,316518.9765515525,2023-10-20 02:25:00,455796,2024-01-25 00:05:00,2023-10,131352.1926257087,2023Q4,16,0.4149899448582191,5m_v22_moirai_baseline
569885,711649.5638446745,2025-02-24 03:30:00,571759,2025-03-02 15:40:00,2025-02,123009.06667361094,2025Q1,17,0.1728506176678541,5m_v22_moirai_baseline
580765,891220.9734979859,2025-04-02 22:10:00,582726,2025-04-09 17:35:00,2025-04,120301.05474534782,2025Q2,18,0.134984541794583,5m_v22_moirai_baseline
653371,2294539.312686316,2025-12-11 00:40:00,654541,2025-12-15 02:10:00,2025-12,108124.89278371586,2025Q4,19,0.04712270222867935,5m_v22_moirai_baseline
677958,3178552.2944505704,2026-03-06 09:35:00,678745,2026-03-09 03:10:00,2026-03,107714.94338189252,2026Q1,20,0.03388805135279727,5m_v22_moirai_baseline
166713,20010.58865725574,2021-04-25 14:25:00,170046,2021-05-07 04:10:00,2021-04,8996.317917673518,2021Q2,1,0.44957787458249,5m_core_donchian
134415,21857.71345351119,2021-01-03 07:25:00,135795,2021-01-08 02:25:00,2021-01,8448.899010407717,2021Q1,2,0.3865408441911154,5m_core_donchian
172781,23594.73087097058,2021-05-16 16:05:00,175031,2021-05-24 11:35:00,2021-05,8259.130270767295,2021Q2,3,0.35004130015014456,5m_core_donchian
667528,27202.711157591748,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,2026-01,7839.007770526347,2026Q1,4,0.288170091764498,5m_core_donchian
702783,38188.25142855599,2026-05-31 14:20:00,704704,2026-06-07 06:25:00,2026-05,7543.858705781262,2026Q2,5,0.19754396767536203,5m_core_donchian
47943,14601.289523937068,2020-03-08 00:05:00,50222,2020-03-15 22:00:00,2020-03,6483.451199587908,2020Q1,6,0.44403278141694713,5m_core_donchian
181645,31514.044607524298,2021-06-16 10:45:00,183473,2021-06-23 02:50:00,2021-06,5801.053827641143,2021Q2,7,0.1840783656902003,5m_core_donchian
294463,14941.249497793533,2022-07-13 12:30:00,296666,2022-07-21 04:05:00,2022-07,5182.303558343474,2022Q3,8,0.3468453932924938,5m_core_donchian
283952,12735.116543470882,2022-06-07 00:35:00,286538,2022-06-16 00:05:00,2022-06,3803.1323828811765,2022Q2,9,0.2986334965918305,5m_core_donchian
175031,31849.14219556368,2021-05-24 11:35:00,176113,2021-05-28 05:45:00,2021-05,3651.462483917905,2021Q2,10,0.11464869168208001,5m_core_donchian
184620,34911.542307522126,2021-06-27 02:25:00,185918,2021-07-01 14:35:00,2021-06,3648.088005596037,2021Q2,11,0.10449518309622234,5m_core_donchian
203224,19327.14097001037,2021-08-30 16:45:00,204671,2021-09-04 17:20:00,2021-08,3541.9405951050758,2021Q3,12,0.18326252189090209,5m_core_donchian
191557,24825.699437703905,2021-07-21 04:30:00,192829,2021-07-25 14:30:00,2021-07,3374.567206071839,2021Q3,13,0.13593039803530096,5m_core_donchian
120700,12500.604895890536,2020-11-16 16:30:00,123140,2020-11-25 03:50:00,2020-11,3335.576185635515,2020Q4,14,0.2668331823472043,5m_core_donchian
211966,24506.300925183084,2021-09-30 01:15:00,213140,2021-10-04 03:05:00,2021-09,3144.607700188466,2021Q3,15,0.1283183337129846,5m_core_donchian
148380,13618.55606971898,2021-02-20 22:40:00,150803,2021-03-01 08:35:00,2021-02,3090.4892791939656,2021Q1,16,0.22693222859842718,5m_core_donchian
204671,22869.081565115444,2021-09-04 17:20:00,206866,2021-09-12 08:15:00,2021-09,3006.9361477078783,2021Q3,17,0.13148477953284607,5m_core_donchian
590584,9311.179620318642,2025-05-07 00:25:00,592245,2025-05-12 18:50:00,2025-05,2945.9287169915515,2025Q2,18,0.31638619778776617,5m_core_donchian
