add_count,add_number,drawdown,entry_notional,entry_price,entry_size,entry_step,event,exit_price,notional,pnl,position,price,size,step,throttle,time,type,variant
,,0.0,,,,,open,,10000.0,,1,173.114616,1.0,1982,1.0,2019-09-30 10:00:00,,baseline_100
0,,,10000.0,173.114616,1.0,1982,close,172.275538,,-52.4497206046708,,,,2899,,2019-10-03 14:25:00,sell,baseline_100
,,0.06914979757085016,,,,,open,,9947.55027939533,,-1,172.275538,1.0,2899,1.0,2019-10-03 14:25:00,,baseline_100
0,,,9947.55027939533,172.275538,1.0,2899,close,176.065206,,-218.8229585764857,,,,4027,,2019-10-07 12:25:00,buy_cover,baseline_100
,,0.09115406042189977,,,,,open,,9726.737810762965,,1,176.065206,1.0,4027,1.0,2019-10-07 12:25:00,,baseline_100
0,,,9726.737810762965,176.065206,1.0,4027,close,185.71285,,528.8814636934749,,,,5104,,2019-10-11 06:10:00,sell,baseline_100
,,0.0524033064598427,,,,,open,,10255.61927445644,,-1,185.71285,1.0,5104,1.0,2019-10-11 06:10:00,,baseline_100
0,,,10255.61927445644,185.71285,1.0,5104,close,185.347062,,20.200317302334952,,,,6094,,2019-10-14 16:40:00,buy_cover,baseline_100
,,0.05030498434621877,,,,,open,,10273.768467903883,,1,185.347062,1.0,6094,1.0,2019-10-14 16:40:00,,baseline_100
0,,,10273.768467903883,185.347062,1.0,6094,close,176.86462,,-474.10192523146,,,,6611,,2019-10-16 11:45:00,sell,baseline_100
,,0.09341577548277746,,,,,open,,9799.666542672423,,-1,176.86462,1.0,6611,1.0,2019-10-16 11:45:00,,baseline_100
0,,,9799.666542672423,176.86462,1.0,6611,close,175.555104,,72.55769383132247,,,,7835,,2019-10-20 17:45:00,buy_cover,baseline_100
,,0.08779468996783513,,,,,open,,9870.26430319521,,1,175.555104,1.0,7835,1.0,2019-10-20 17:45:00,,baseline_100
0,,,9870.26430319521,175.555104,1.0,7835,close,171.305732,,-242.7653158399753,,,,8379,,2019-10-22 15:05:00,sell,baseline_100
,,0.11050828431882365,,,,,open,,9627.498987355235,,-1,171.305732,1.0,8379,1.0,2019-10-22 15:05:00,,baseline_100
0,,,9627.498987355235,171.305732,1.0,8379,close,164.08281,,405.93351207319574,,,,9191,,2019-10-25 10:45:00,buy_cover,baseline_100
,,0.07358634182987034,,,,,open,,10031.50699963096,,1,164.08281,1.0,9191,1.0,2019-10-25 10:45:00,,baseline_100
0,,,10031.50699963096,164.08281,1.0,9191,close,182.553482,,1124.774948054297,,,,10628,,2019-10-30 10:30:00,sell,baseline_100
,,0.06608357628765793,,,,,open,,11156.281947685256,,-1,182.553482,1.0,10628,1.0,2019-10-30 10:30:00,,baseline_100
0,,,11156.281947685256,182.553482,1.0,10628,close,184.24684200000002,,-103.48484822953833,,,,11330,,2019-11-01 21:00:00,buy_cover,baseline_100
,,0.0751132297566438,,,,,open,,11050.56584306618,,1,184.24684200000002,1.0,11330,1.0,2019-11-01 21:00:00,,baseline_100
0,,,11050.56584306618,184.24684200000002,1.0,11330,close,181.153762,,-189.85912797185483,,,,11781,,2019-11-03 10:35:00,sell,baseline_100
,,0.09082681650457802,,,,,open,,10860.706715094326,,-1,181.153762,1.0,11781,1.0,2019-11-03 10:35:00,,baseline_100
0,,,10860.706715094326,181.153762,1.0,11781,close,188.767746,,-456.48052923888827,,,,12405,,2019-11-05 14:35:00,buy_cover,baseline_100
,,0.128169182234537,,,,,open,,10402.054044512419,,1,188.767746,1.0,12405,1.0,2019-11-05 14:35:00,,baseline_100
0,,,10402.054044512419,188.767746,1.0,12405,close,188.04238400000003,,-44.11552014380868,,,,12871,,2019-11-07 05:25:00,sell,baseline_100
,,0.1340210727909823,,,,,open,,10357.93852436861,,-1,188.04238400000003,1.0,12871,1.0,2019-11-07 05:25:00,,baseline_100
0,,,10357.93852436861,188.04238400000003,1.0,12871,close,187.177428,,47.644783237674346,,,,13737,,2019-11-10 05:35:00,buy_cover,baseline_100
