baseline_pnl,entry_step,entry_time,pnl_lost,pnl_saved,realized_vol_bucket,realized_vol_percentile_at_entry,side,trade_id,v1_pnl,v1_size
131352.1926257087,427888,2023-10-20 02:25:00,14309.051027647452,0.0,Q1,0.04310344827586207,long,129,117043.14159806125,1.0
176532.66314368148,459540,2024-02-07 00:05:00,19230.85435023828,0.0,Q1,0.09482758620689655,long,131,157301.8087934432,1.0
223327.4877437218,538173,2024-11-06 00:50:00,20609.226691427757,0.0,Q1,0.15948275862068967,long,157,202718.26105229405,1.0
123009.06667361094,569885,2025-02-24 03:30:00,10336.884294291376,0.0,Q3,0.5,short,165,112672.18237931957,1.0
120301.05474534782,580765,2025-04-02 22:10:00,10135.505535093485,0.0,Q2,0.28879310344827586,short,172,110165.54921025434,1.0
289292.0533968997,590584,2025-05-07 00:25:00,23317.1488730571,0.0,Q2,0.3448275862068966,long,177,265974.9045238426,1.0
687933.1530731546,608021,2025-07-06 13:30:00,55447.910015388625,0.0,Q3,0.44396551724137934,long,184,632485.243057766,1.0
291923.008158589,642708,2025-11-04 00:05:00,20256.146819663,0.0,Q3,0.5862068965517241,short,187,271666.861338926,1.0
143916.03504271363,650941,2025-12-02 14:10:00,33510.49990920955,0.0,Q4,0.7801724137931034,long,190,110405.53513350408,0.8324885093218517
140704.73586541507,652419,2025-12-07 17:20:00,25986.567796335556,0.0,Q4,0.6982758620689655,long,192,114718.16806907952,0.894107789647759
108124.89278371586,653371,2025-12-11 00:40:00,16244.122422919609,0.0,Q4,0.646551724137931,short,193,91880.77036079625,0.9379822180413271
153802.9006437799,657584,2025-12-25 15:45:00,14852.434967273148,0.0,Q3,0.521551724137931,long,195,138950.46567650675,1.0
138377.4217465222,662399,2026-01-11 09:00:00,13362.827676373068,0.0,Q1,0.19827586206896552,long,197,125014.59407014912,1.0
675483.411179737,667528,2026-01-29 04:25:00,65230.06649435661,0.0,Q2,0.30603448275862066,short,201,610253.3446853803,1.0
107714.94338189298,677958,2026-03-06 09:35:00,10542.681976926513,0.0,Q3,0.5560344827586207,short,211,97172.26140496647,1.0
138375.05150027527,678745,2026-03-09 03:10:00,13543.563369253185,0.0,Q3,0.5387931034482759,long,212,124831.48813102208,1.0
220104.04612457938,680700,2026-03-15 22:05:00,21542.850854954682,0.0,Q3,0.5603448275862069,long,214,198561.1952696247,1.0
206137.00499778846,681437,2026-03-18 11:30:00,20175.816085821018,0.0,Q3,0.5517241379310345,short,215,185961.18891196745,1.0
175497.21646333812,683665,2026-03-26 05:10:00,17176.92348821927,0.0,Q3,0.4525862068965517,short,216,158320.29297511885,1.0
687331.8549132114,702783,2026-05-31 14:20:00,67273.12786369259,0.0,Q1,0.08620689655172414,short,232,620058.7270495188,1.0
