count,dimension,er_window,extreme_group,pnl_sum,value
1,entry_month,ER20,top20,176532.66314368148,2024-02
1,entry_month,ER20,top20,291923.008158589,2025-11
1,entry_month,ER20,top20,175497.21646333812,2026-03
1,entry_quarter,ER20,top20,176532.66314368148,2024Q1
1,entry_quarter,ER20,top20,291923.008158589,2025Q4
1,entry_quarter,ER20,top20,175497.21646333812,2026Q1
1,entry_year,ER20,top20,176532.66314368148,2024
1,entry_year,ER20,top20,291923.008158589,2025
1,entry_year,ER20,top20,175497.21646333812,2026
1,side,ER20,top20,176532.66314368148,long
2,side,ER20,top20,467420.22462192713,short
1,regime,ER20,top20,175497.21646333812,BEAR
1,regime,ER20,top20,176532.66314368148,BULL
1,regime,ER20,top20,291923.008158589,NEUTRAL
1,realized_vol_bucket,ER20,top20,176532.66314368148,Q1
2,realized_vol_bucket,ER20,top20,467420.22462192713,Q3
3,breakout_strength_bucket,ER20,top20,643952.8877656086,Q1
1,entry_month,ER20,worst20,-40958.318344077445,2024-04
1,entry_month,ER20,worst20,-39289.81258408725,2025-01
1,entry_month,ER20,worst20,-106639.25615344523,2025-10
1,entry_quarter,ER20,worst20,-40958.318344077445,2024Q2
1,entry_quarter,ER20,worst20,-39289.81258408725,2025Q1
1,entry_quarter,ER20,worst20,-106639.25615344523,2025Q4
1,entry_year,ER20,worst20,-40958.318344077445,2024
2,entry_year,ER20,worst20,-145929.06873753248,2025
2,side,ER20,worst20,-147597.57449752267,long
1,side,ER20,worst20,-39289.81258408725,short
2,regime,ER20,worst20,-147597.57449752267,BULL
1,regime,ER20,worst20,-39289.81258408725,NEUTRAL
1,realized_vol_bucket,ER20,worst20,-40958.318344077445,Q3
1,realized_vol_bucket,ER20,worst20,-39289.81258408725,Q4
1,realized_vol_bucket,ER20,worst20,-106639.25615344523,Q5
3,breakout_strength_bucket,ER20,worst20,-186887.38708160992,Q1
1,entry_month,ER50,top20,176532.66314368148,2024-02
1,entry_month,ER50,top20,120301.05474534782,2025-04
1,entry_month,ER50,top20,291923.008158589,2025-11
1,entry_month,ER50,top20,140704.73586541507,2025-12
1,entry_month,ER50,top20,138377.4217465222,2026-01
1,entry_month,ER50,top20,107714.94338189298,2026-03
1,entry_quarter,ER50,top20,176532.66314368148,2024Q1
1,entry_quarter,ER50,top20,120301.05474534782,2025Q2
2,entry_quarter,ER50,top20,432627.7440240041,2025Q4
2,entry_quarter,ER50,top20,246092.36512841517,2026Q1
1,entry_year,ER50,top20,176532.66314368148,2024
3,entry_year,ER50,top20,552928.7987693519,2025
2,entry_year,ER50,top20,246092.36512841517,2026
3,side,ER50,top20,455614.82075561874,long
3,side,ER50,top20,519939.0062858298,short
4,regime,ER50,top20,507098.15573917807,BEAR
1,regime,ER50,top20,176532.66314368148,BULL
1,regime,ER50,top20,291923.008158589,NEUTRAL
2,realized_vol_bucket,ER50,top20,314910.08489020367,Q1
1,realized_vol_bucket,ER50,top20,120301.05474534782,Q2
2,realized_vol_bucket,ER50,top20,399637.951540482,Q3
1,realized_vol_bucket,ER50,top20,140704.73586541507,Q4
2,breakout_strength_bucket,ER50,top20,468455.6713022705,Q1
3,breakout_strength_bucket,ER50,top20,366393.419873763,Q3
1,breakout_strength_bucket,ER50,top20,140704.73586541507,Q5
1,entry_month,ER50,worst20,-40958.318344077445,2024-04
1,entry_month,ER50,worst20,-54210.9353360011,2025-01
1,entry_month,ER50,worst20,-204304.39176057372,2025-12
1,entry_month,ER50,worst20,-55662.69902890781,2026-02
1,entry_month,ER50,worst20,-333684.99608152965,2026-04
1,entry_month,ER50,worst20,-83008.62608184712,2026-05
1,entry_quarter,ER50,worst20,-40958.318344077445,2024Q2
1,entry_quarter,ER50,worst20,-54210.9353360011,2025Q1
1,entry_quarter,ER50,worst20,-204304.39176057372,2025Q4
1,entry_quarter,ER50,worst20,-55662.69902890781,2026Q1
2,entry_quarter,ER50,worst20,-416693.6221633768,2026Q2
1,entry_year,ER50,worst20,-40958.318344077445,2024
2,entry_year,ER50,worst20,-258515.32709657482,2025
3,entry_year,ER50,worst20,-472356.3211922846,2026
5,side,ER50,worst20,-438144.9705514072,long
1,side,ER50,worst20,-333684.99608152965,short
4,regime,ER50,worst20,-676660.7129528583,BEAR
2,regime,ER50,worst20,-95169.25368007855,BULL
1,realized_vol_bucket,ER50,worst20,-83008.62608184712,Q1
4,realized_vol_bucket,ER50,worst20,-633158.6415221819,Q3
1,realized_vol_bucket,ER50,worst20,-55662.69902890781,Q5
3,breakout_strength_bucket,ER50,worst20,-178177.87976192567,Q1
2,breakout_strength_bucket,ER50,worst20,-259967.09078948153,Q2
1,breakout_strength_bucket,ER50,worst20,-333684.99608152965,Q3
1,entry_month,ER100,top20,223327.4877437218,2024-11
1,entry_month,ER100,top20,120301.05474534782,2025-04
1,entry_month,ER100,top20,291923.008158589,2025-11
2,entry_month,ER100,top20,248829.62864913093,2025-12
1,entry_month,ER100,top20,138377.4217465222,2026-01
1,entry_month,ER100,top20,107714.94338189298,2026-03
1,entry_quarter,ER100,top20,223327.4877437218,2024Q4
1,entry_quarter,ER100,top20,120301.05474534782,2025Q2
3,entry_quarter,ER100,top20,540752.63680772,2025Q4
2,entry_quarter,ER100,top20,246092.36512841517,2026Q1
1,entry_year,ER100,top20,223327.4877437218,2024
4,entry_year,ER100,top20,661053.6915530678,2025
2,entry_year,ER100,top20,246092.36512841517,2026
3,side,ER100,top20,502409.6453556591,long
4,side,ER100,top20,628063.8990695457,short
6,regime,ER100,top20,838550.5362666157,BEAR
1,regime,ER100,top20,291923.008158589,NEUTRAL
2,realized_vol_bucket,ER100,top20,361704.909490244,Q1
1,realized_vol_bucket,ER100,top20,120301.05474534782,Q2
2,realized_vol_bucket,ER100,top20,399637.951540482,Q3
2,realized_vol_bucket,ER100,top20,248829.62864913093,Q4
1,breakout_strength_bucket,ER100,top20,291923.008158589,Q1
1,breakout_strength_bucket,ER100,top20,108124.89278371586,Q2
3,breakout_strength_bucket,ER100,top20,366393.419873763,Q3
2,breakout_strength_bucket,ER100,top20,364032.2236091369,Q5
1,entry_month,ER100,worst20,-40958.318344077445,2024-04
1,entry_month,ER100,worst20,-41307.177395039704,2024-08
1,entry_month,ER100,worst20,-54210.9353360011,2025-01
1,entry_month,ER100,worst20,-55662.69902890781,2026-02
1,entry_month,ER100,worst20,-83008.62608184712,2026-05
1,entry_quarter,ER100,worst20,-40958.318344077445,2024Q2
1,entry_quarter,ER100,worst20,-41307.177395039704,2024Q3
1,entry_quarter,ER100,worst20,-54210.9353360011,2025Q1
1,entry_quarter,ER100,worst20,-55662.69902890781,2026Q1
1,entry_quarter,ER100,worst20,-83008.62608184712,2026Q2
2,entry_year,ER100,worst20,-82265.49573911715,2024
1,entry_year,ER100,worst20,-54210.9353360011,2025
