dimension,er_window,overlap_value_count,overlap_values,same_dominant_value,separable_hint,top20_count,top20_dominant_value,top20_unique_values,worst20_count,worst20_dominant_value,worst20_unique_values
breakout_strength_bucket,ER100,2,Q1;Q2,False,False,7,Q3,4,5,Q1,2
entry_month,ER100,0,,False,True,7,2025-12,6,5,2026-05,5
entry_quarter,ER100,1,2026Q1,False,False,7,2025Q4,4,5,2026Q2,5
entry_year,ER100,3,2024;2025;2026,False,False,7,2025,3,5,2026,3
realized_vol_bucket,ER100,3,Q1;Q3;Q4,True,False,7,Q3,4,5,Q3,4
regime,ER100,1,BEAR,True,False,7,BEAR,2,5,BEAR,2
side,ER100,1,long,False,False,7,short,2,5,long,1
breakout_strength_bucket,ER20,1,Q1,True,False,3,Q1,1,3,Q1,1
entry_month,ER20,0,,False,True,3,2025-11,3,3,2025-10,3
entry_quarter,ER20,1,2025Q4,True,False,3,2025Q4,3,3,2025Q4,3
entry_year,ER20,2,2024;2025,True,False,3,2025,3,3,2025,2
realized_vol_bucket,ER20,1,Q3,False,False,3,Q3,2,3,Q5,3
regime,ER20,2,BULL;NEUTRAL,False,False,3,NEUTRAL,3,3,BULL,2
side,ER20,2,long;short,False,False,3,short,2,3,long,2
breakout_strength_bucket,ER50,2,Q1;Q3,False,False,6,Q3,3,6,Q1,3
entry_month,ER50,1,2025-12,False,False,6,2025-11,6,6,2026-04,6
entry_quarter,ER50,2,2025Q4;2026Q1,False,False,6,2025Q4,4,6,2026Q2,5
entry_year,ER50,3,2024;2025;2026,False,False,6,2025,3,6,2026,3
realized_vol_bucket,ER50,2,Q1;Q3,True,False,6,Q3,4,6,Q3,3
regime,ER50,2,BEAR;BULL,True,False,6,BEAR,3,6,BEAR,2
side,ER50,2,long;short,False,False,6,short,2,6,long,2
