baseline_worst_rolling12_end,baseline_worst_rolling12_return,baseline_worst_rolling12_start,bucket,er_window,loss_in_window,loss_share_of_window,pnl_in_window,pnl_share_of_window,trade_count_in_window
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q1,ER20,-52837.61223975163,0.30188920193138724,36749.68345816522,287.8277316054829,9
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q2,ER20,-22547.792257654946,0.12882745304787,11726.634652899811,91.84434623369448,6
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q3,ER20,-37395.71627744836,0.21366148968703924,-1948.7102699205716,-15.262522116307492,8
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q4,ER20,-35174.474818534305,0.20097036336804974,-19332.330380525527,-151.41302662943355,5
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q5,ER20,-27067.598021069527,0.15465149196565373,-27067.598021069527,-211.99652909343632,2
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,missing,ER20,0.0,0.0,0.0,0.0,0
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q1,ER50,-12807.760892416045,0.07317750652310111,53056.955137274505,415.5481518756469,5
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q2,ER50,-44130.32757833063,0.25213988310338425,4447.838265445069,34.835978926144364,10
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q3,ER50,-34944.292821873794,0.1996552119763573,-4653.723453759594,-36.448495311250014,6
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q4,ER50,-57739.38485338121,0.32989561932328565,-31806.210617559933,-249.10988589711135,5
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q5,ER50,-25401.427468457085,0.1451317790738716,-20917.17989185064,-163.8257495934299,4
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,missing,ER50,0.0,0.0,0.0,0.0,0
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q1,ER100,-41117.67983296215,0.2349270344337117,32281.027429281952,252.82870557080113,9
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q2,ER100,-83373.47575419678,0.47635672754236186,-73919.59026211043,-578.9467006041043,8
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q3,ER100,-10272.02626398312,0.05868951452577392,47251.43709097395,370.07866934354325,5
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q4,ER100,-21851.909666429943,0.12485150804964366,-2979.1834393382305,-23.333306050308902,2
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,Q5,ER100,-18408.102096886767,0.10517521544850877,-2506.011379257834,-19.627368259931174,6
2022-05-08 00:00:00,-0.23478767887578278,2021-05-08 00:00:00,missing,ER100,0.0,0.0,0.0,0.0,0
