bucket,er_window,top20_winner_count,top20_winner_pnl,top20_winner_pnl_share,trade_count,trade_pnl_std,worst20_loser_count,worst20_loser_loss,worst20_loser_loss_share
Q1,ER20,3,643952.8877656086,0.1303748881298186,47,62871.25034389159,3,-186887.38708160992,0.1015505583937833
Q2,ER20,2,813858.4626800122,0.16477402002743147,47,105976.10634843349,5,-378526.17700284394,0.20568292618119322
Q3,ER20,3,629697.1542668269,0.1274886681975482,47,69919.70211683055,5,-410474.8091953839,0.22304312094732406
Q4,ER20,7,1588018.7946109038,0.3215107450078014,47,115929.93979240608,3,-317567.537150583,0.17255932157314433
Q5,ER20,5,1263712.8948803318,0.2558516786374004,48,120995.47186431574,4,-546882.4396248829,0.2971640729045551
missing,ER20,0,0.0,0.0,0,0.0,0,0.0,0.0
Q1,ER50,6,975553.8270414486,0.19751091031901716,47,88650.14524768326,6,-771829.9666329368,0.41939568699948176
Q2,ER50,4,1221308.1690014042,0.24726640555659524,47,114746.43523217188,5,-391856.460537774,0.212926313536855
Q3,ER50,5,1525592.1499438556,0.308871828451302,47,115761.82333012878,3,-188239.75288900663,0.10228540468297576
Q4,ER50,2,266925.10171632457,0.054041733388379774,47,48964.53816168752,5,-354104.51604348305,0.19241272455841715
Q5,ER50,3,949860.9465006504,0.19230912228470584,48,105683.54043231117,1,-134307.6539521031,0.0729798702222703
missing,ER50,0,0.0,0.0,0,0.0,0,0.0,0.0
Q1,ER100,7,1130473.5444252049,0.22887600116144233,47,69356.57556380126,5,-275147.7561858732,0.14950933135616326
Q2,ER100,3,467675.1686073933,0.09468565006338855,47,75163.64470367572,4,-640759.4841892268,0.34817482566179825
Q3,ER100,2,307884.8557693902,0.062334457054892864,47,53345.491754557916,6,-575703.3428148858,0.3128247274733939
Q4,ER100,3,1004629.4828511364,0.20339757601383573,47,109283.4168707129,4,-273110.6465767177,0.14840241011578686
Q5,ER100,5,2028577.1425505588,0.41070631570644056,48,147221.33634920762,1,-75617.12028860021,0.04108870539285771
missing,ER100,0,0.0,0.0,0,0.0,0,0.0,0.0
