affected,baseline_return_pct,component,decision_bar,decision_time,delta_pct,direction,entry_step,entry_time,exit_step,extension,in_oos,is_top20_norm,is_worst20_norm,missed_profit,saved_loss,trade_id,variant_return_pct,year
True,0.20655089262603532,fib_ext_1p000_1p618,15686,2019-11-17 00:00:00,-0.20655089262603532,short,15687,2019-11-17 00:05:00,30375,0.19914346895075147,False,True,False,0.20655089262603532,0.0,17,0.0,2019
True,-0.0009571719401320593,fib_ext_1p000_1p618,30662,2020-01-08 00:00:00,0.0009571719401320593,short,30663,2020-01-08 00:05:00,31527,0.3322932917316687,False,False,False,0.0,0.0009571719401320593,18,0.0,2020
True,0.2514462424741376,fib_ext_1p000_1p618,32678,2020-01-15 00:00:00,-0.2514462424741376,long,32679,2020-01-15 00:05:00,48231,0.7922636103151868,False,True,False,0.2514462424741376,0.0,19,0.0,2020
True,0.2912568473765356,fib_ext_1p000_1p618,48806,2020-03-11 00:00:00,-0.2912568473765356,short,48807,2020-03-11 00:05:00,55344,0.4229607250755289,False,True,False,0.2912568473765356,0.0,20,0.0,2020
True,-0.0334567977711157,fib_ext_1p000_1p618,57446,2020-04-10 00:00:00,0.0334567977711157,long,57447,2020-04-10 00:05:00,57493,0.5886075949367091,False,False,False,0.0,0.0334567977711157,21,0.0,2020
True,-0.14311872759442293,fib_ext_1p000_1p618,101494,2020-09-11 00:00:00,0.14311872759442293,long,101495,2020-09-11 00:05:00,105239,0.7154592979835693,False,False,True,0.0,0.14311872759442293,26,0.0,2020
True,1.557773262169884,fib_ext_1p000_1p618,109846,2020-10-10 00:00:00,-1.557773262169884,long,109847,2020-10-10 00:05:00,136783,0.8179176755447944,False,True,False,1.557773262169884,0.0,27,0.0,2020
True,-0.21436887358690393,fib_ext_1p000_1p618,175756,2021-05-27 00:00:00,0.21436887358690393,long,175757,2021-05-27 00:05:00,176621,0.9117058588141144,False,False,True,0.0,0.21436887358690393,29,0.0,2021
True,-0.049616368108637086,fib_ext_1p000_1p618,178060,2021-06-04 00:00:00,0.049616368108637086,long,178061,2021-06-04 00:05:00,178925,0.7804515225761295,False,False,False,0.0,0.049616368108637086,30,0.0,2021
True,-0.05842175757489679,fib_ext_1p000_1p618,183244,2021-06-22 00:00:00,0.05842175757489679,short,183245,2021-06-22 00:05:00,184016,0.9450263688725785,False,False,False,0.0,0.05842175757489679,31,0.0,2021
True,-0.1004112191395893,fib_ext_1p000_1p618,184303,2021-06-26 00:00:00,0.1004112191395893,short,184304,2021-06-26 00:05:00,184880,0.964935968250071,False,False,True,0.0,0.1004112191395893,32,0.0,2021
True,-0.04177033428058151,fib_ext_1p000_1p618,189487,2021-07-14 00:00:00,0.04177033428058151,short,189488,2021-07-14 00:05:00,192080,0.8197010969594347,False,False,False,0.0,0.04177033428058151,33,0.0,2021
True,0.4015650210313255,fib_ext_1p000_1p618,192655,2021-07-25 00:00:00,-0.4015650210313255,long,192656,2021-07-25 00:05:00,209936,0.9210876311511749,False,True,False,0.4015650210313255,0.0,34,0.0,2021
